Draw,Date,Winning Number 1,2,3,4,5,6,Supplementary Number 1,2,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize
4639,2026-01-03,9,10,13,19,21,36,2,39,,5,1,4,2,2,2,1,1,0,18,1666666.67,189,10197.60,3884,751.15,180945,23.95,431425,15.70,2521813,9.10
4637,2025-12-27,3,5,20,26,28,40,22,42,,3,3,2,4,2,1,2,1,0,7,936180.60,59,10638.80,1103,861.45,56489,25.00,134676,16.40,800361,9.30
4635,2025-12-20,8,19,31,32,41,43,6,14,32,2,4,4,2,1,1,0,2,2,4,1566506.31,43,13991.15,949,959.65,45657,29.60,116590,18.15,671572,10.65
4633,2025-12-13,6,17,20,28,32,35,25,41,17,3,3,2,4,1,2,1,2,0,7,919794.14,43,14319.90,928,1004.45,50579,27.35,121198,17.85,737102,9.90
4631,2025-12-06,5,10,17,33,42,45,31,44,"5,10,17",3,3,4,2,2,1,0,1,2,7,888814.08,50,11948.00,990,913.45,49053,27.35,117029,17.95,713911,9.95
4629,2025-11-29,5,10,17,22,36,44,3,11,,4,2,2,4,2,1,1,1,1,8,791600.91,57,10679.75,1108,831.70,53076,25.80,146965,14.55,728172,9.95
4627,2025-11-22,7,12,15,31,39,42,5,8,39,3,3,4,2,1,2,0,2,1,7,921766.49,56,11041.05,1143,818.85,53224,26.10,140465,15.50,729876,10.05
4625,2025-11-15,1,19,33,36,39,41,20,25,"1,41",2,4,5,1,1,1,0,3,1,4,1669495.54,37,17283.70,929,1042.05,48363,29.70,127038,17.70,705671,10.75
4623,2025-11-08,1,13,14,16,28,41,34,39,"13,28",4,2,3,3,1,3,1,0,1,8,1250000.00,48,15048.55,1175,930.60,60858,26.70,135737,18.70,893047,9.60
4621,2025-11-01,13,17,21,28,31,42,15,36,13,3,3,4,2,0,2,2,1,1,8,2500000.00,93,11678.90,1948,844.00,100350,24.35,238358,16.05,1408283,9.15
4619,2025-10-25,13,14,23,29,40,41,1,17,,2,4,4,2,0,2,2,1,1,4,1556751.24,44,13563.90,861,1049.30,46036,29.15,129198,16.25,690972,10.25
4617,2025-10-18,7,10,18,19,32,38,28,43,32,4,2,2,4,2,2,0,2,0,5,1303392.97,63,9907.15,1040,908.50,55045,25.50,141607,15.50,787517,9.40
4615,2025-10-11,9,21,32,33,37,43,17,30,32,2,4,5,1,1,0,1,3,1,8,820141.42,50,12607.70,996,958.10,49975,28.35,125544,17.65,707488,10.60
4613,2025-10-04,2,3,10,16,32,42,11,35,16,4,2,1,5,3,1,0,1,1,6,1033022.26,51,11633.05,915,981.50,47855,27.85,125769,16.60,710431,9.90
4611,2025-09-27,4,14,16,25,29,37,6,10,25,3,3,3,3,1,2,2,1,0,8,800542.49,67,9178.30,985,945.05,50978,27.10,135083,16.00,720467,10.15
4609,2025-09-20,5,10,25,26,27,38,15,34,,2,4,3,3,2,0,3,1,0,3,2162532.87,54,11523.10,962,979.15,54952,25.45,141334,15.50,785952,9.40
4607,2025-09-13,2,13,15,18,31,40,26,36,,4,2,3,3,1,3,0,2,0,5,2000000.00,77,10517.80,1271,964.55,69004,26.40,170923,16.65,993146,9.70
4605,2025-09-06,6,10,16,21,42,43,23,36,10,4,2,2,4,2,1,1,0,2,8,2500000.00,108,10864.00,2085,851.85,99769,26.45,248642,16.60,1415902,9.85
4603,2025-08-30,4,5,9,10,28,36,2,14,"10,28",4,2,2,4,4,0,1,1,0,4,1569487.31,75,8030.90,1225,744.30,60416,22.40,154782,13.70,803780,8.90
4601,2025-08-23,2,10,28,33,44,45,8,26,,2,4,2,4,2,0,1,1,2,6,1055540.64,58,10501.20,887,1039.45,47964,28.55,126539,16.95,690238,10.50
4599,2025-08-16,1,6,15,18,23,38,24,32,,4,2,3,3,2,2,1,1,0,4,1631770.49,47,13339.30,1048,905.60,56887,24.75,130656,16.90,810171,9.20
4597,2025-08-09,4,10,14,40,41,45,3,6,"40,45",3,3,2,4,2,1,0,1,2,4,1668614.99,51,12547.90,1011,958.20,48918,29.40,122845,18.30,723882,10.50
4595,2025-08-02,1,21,24,40,43,45,9,16,40,2,4,4,2,1,0,2,1,2,7,1428571.43,75,10486.15,1262,943.35,63867,27.70,159819,17.30,915259,10.20
4593,2025-07-26,2,17,23,40,42,44,27,39,"17,42",2,4,2,4,1,1,1,1,2,7,4285714.29,118,11463.35,2185,937.15,109864,27.65,274834,17.30,1590415,10.10
4591,2025-07-19,7,15,17,22,36,42,9,34,36,4,2,3,3,1,2,1,1,1,7,913127.93,60,10220.50,1107,838.55,56231,24.50,133958,16.10,791894,9.20
4589,2025-07-12,9,23,29,35,36,37,20,31,,1,5,5,1,1,0,2,3,0,7,919024.03,49,12599.65,884,1057.20,47469,29.25,123347,17.60,712208,10.30
4587,2025-07-05,4,6,13,14,17,19,1,11,,6,0,3,3,2,4,0,0,0,4,1691612.55,113,5732.05,1426,687.60,68806,21.15,187693,12.15,877439,8.75
4585,2025-06-28,21,32,34,39,41,44,16,22,,1,5,3,3,0,0,1,3,2,4,1629922.69,46,13577.95,984,960.85,47431,29.60,114258,19.20,670864,11.05
4583,2025-06-21,1,6,10,24,30,42,16,18,"1,6,10",3,3,1,5,3,0,2,0,1,9,2222222.23,133,8784.10,2149,822.95,110898,23.70,273675,15.00,1474036,9.40
4581,2025-06-14,1,6,10,17,19,28,14,35,,5,1,3,3,3,2,1,0,0,12,546068.41,68,9220.50,1823,520.65,85229,16.55,149286,14.75,900923,8.25
4579,2025-06-07,11,13,22,26,30,36,24,45,,3,3,2,4,0,2,3,1,0,10,627568.96,78,7694.45,1369,663.65,61923,21.80,135243,15.60,831529,8.55
4577,2025-05-31,5,7,9,23,27,45,13,36,5,3,3,6,0,3,0,2,0,1,5,1228899.07,74,7951.90,1491,597.40,69355,19.05,168582,12.30,861320,8.10
4575,2025-05-24,5,13,33,35,36,37,10,18,37,2,4,5,1,1,1,0,4,0,1,6427770.04,41,15020.30,892,1045.10,50642,27.35,123921,17.50,709055,10.30
4573,2025-05-17,9,19,31,37,40,44,5,11,,2,4,4,2,1,1,0,3,1,3,1690125.75,42,14571.95,878,1055.00,46631,29.45,131371,16.35,678439,9.45
4571,2025-05-10,1,18,25,35,38,45,4,16,,2,4,4,2,1,1,1,2,1,6,3333333.34,103,11125.25,1748,992.20,92828,27.70,232393,17.30,1344687,8.95
4569,2025-05-03,16,27,29,30,34,43,2,40,,1,5,3,3,0,1,3,1,1,2,2478143.82,67,8968.80,856,1062.50,47162,28.60,118422,17.85,705185,8.95
4567,2025-04-26,1,7,21,32,38,42,13,24,21,3,3,3,3,2,0,1,2,1,4,1259119.90,78,7812.75,1160,795.10,54157,25.25,140283,15.25,752372,8.50
4565,2025-04-19,10,14,19,21,28,44,23,33,,4,2,2,4,1,2,2,0,1,20,255096.86,67,9240.55,1645,569.65,60202,23.05,137736,15.80,818981,7.95
4563,2025-04-12,3,6,13,17,22,45,29,31,3,5,1,4,2,2,2,1,0,1,3,1607641.94,67,8720.30,1160,762.30,59354,22.10,144246,14.25,796386,7.70
4561,2025-04-05,3,10,23,27,42,43,6,18,3,2,4,4,2,2,0,2,0,2,4,1260543.17,61,9999.25,999,924.10,54152,25.25,141118,15.20,766178,8.35
4559,2025-03-29,1,3,17,21,36,41,24,30,,4,2,5,1,2,1,1,1,1,8,2500000.00,117,9670.90,1846,927.70,97824,25.95,247609,16.05,1410803,8.40
4557,2025-03-22,11,16,29,34,42,45,14,18,16,2,4,3,3,0,2,1,1,2,6,833483.02,58,10435.90,1035,885.10,49725,27.30,124938,17.00,706143,9.00
4555,2025-03-15,3,13,15,16,27,30,19,33,16,4,2,4,2,1,3,2,0,0,3,1695309.35,86,7181.10,1323,706.50,65992,21.00,161612,13.45,854409,7.60
4553,2025-03-08,2,16,18,28,29,38,4,25,,3,3,1,5,1,2,2,1,0,4,1262948.41,58,10522.60,1015,910.05,54719,25.00,135567,15.80,748439,8.55
4551,2025-03-01,3,6,11,12,13,37,2,44,,5,1,4,2,2,3,0,1,0,6,884118.73,54,11909.75,1346,723.15,68256,21.15,151070,14.95,938674,7.20
4549,2025-02-22,2,5,26,28,31,39,7,8,31,2,4,3,3,2,0,2,2,0,3,3333333.34,69,11542.15,1187,1015.50,64486,27.70,190071,14.70,928609,9.00
4547,2025-02-15,8,18,19,31,41,43,9,11,,3,3,4,2,1,2,0,1,2,6,3333333.34,117,10853.70,1957,982.10,105956,26.90,281459,15.85,1503466,8.85
