Draw,Date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2
4651,14/02/2026,3, 6, 7, 12, 14, 22,20, 43
4649,07/02/2026,3, 8, 9, 27, 33, 41,15, 25
4647,31/01/2026,9, 20, 33, 34, 42, 45, 7, 29
4645,24/01/2026,8, 22, 24, 28, 29, 33,19, 27
4643,17/01/2026,8, 9, 19, 35, 38, 44,23, 33
4641,10/01/2026,1, 8, 23, 25, 30, 41,32,37
4639,03/01/2026,9, 10, 13, 19, 21, 36,2, 39
4637,27/12/2025,3,5,20,26,28,40,22,42
4635,20/12/2025,8,19,31,32,41,43,6,14
4633,13/12/2025,6,17,20,28,32,35,25,41
4631,06/12/2025,5,10,17,33,42,45,31,44
4629,29/11/2025,5,10,17,22,36,44,3,11
4627,22/11/2025,7,12,15,31,39,42,5,8
4625,15/11/2025,1,19,33,36,39,41,20,25
4623,08/11/2025,1,13,14,16,28,41,34,39
4621,01/11/2025,13,17,21,28,31,42,15,36
4619,25/10/2025,13,14,23,29,40,41,1,17
4617,18/10/2025,7,10,18,19,32,38,28,43
4615,11/10/2025,9,21,32,33,37,43,17,30
4613,04/10/2025,2,3,10,16,32,42,11,35
4611,27/09/2025,4,14,16,25,29,37,6,10
4609,20/09/2025,5,10,25,26,27,38,15,34
4607,13/09/2025,2,13,15,18,31,40,26,36
4605,06/09/2025,6,10,16,21,42,43,23,36
4603,30/08/2025,4,5,9,10,28,36,2,14
4601,23/08/2025,2,10,28,33,44,45,8,26
4599,16/08/2025,1,6,15,18,23,38,24,32
4597,09/08/2025,4,10,14,40,41,45,3,6
4595,02/08/2025,1,21,24,40,43,45,9,16
4593,26/07/2025,2,17,23,40,42,44,27,39
4591,19/07/2025,7,15,17,22,36,42,9,34
4589,12/07/2025,9,23,29,35,36,37,20,31
4587,05/07/2025,4,6,13,14,17,19,1,11
4585,28/06/2025,21,32,34,39,41,44,16,22
4583,21/06/2025,1,6,10,24,30,42,16,18
4581,14/06/2025,1,6,10,17,19,28,14,35
4579,07/06/2025,11,13,22,26,30,36,24,45
4577,31/05/2025,5,7,9,23,27,45,13,36
4575,24/05/2025,5,13,33,35,36,37,10,18
4573,17/05/2025,9,19,31,37,40,44,5,11
4571,10/05/2025,1,18,25,35,38,45,4,16
4569,03/05/2025,16,27,29,30,34,43,2,40
4567,26/04/2025,1,7,21,32,38,42,13,24
4565,19/04/2025,10,14,19,21,28,44,23,33
4563,12/04/2025,3,6,13,17,22,45,29,31
4561,05/04/2025,3,10,23,27,42,43,6,18
4559,29/03/2025,1,3,17,21,36,41,24,30
4557,22/03/2025,11,16,29,34,42,45,14,18
4555,15/03/2025,3,13,15,16,27,30,19,33
4553,08/03/2025,2,16,18,28,29,38,4,25
4551,01/03/2025,3,6,11,12,13,37,2,44
4549,22/02/2025,2,5,26,28,31,39,7,8
4547,15/02/2025,8,18,19,31,41,43,9,11
4545,08/02/2025,6,15,25,35,40,42,20,38
4543,01/02/2025,1,7,8,12,18,41,16,32
4541,25/01/2025,8,12,15,21,28,34,3,44
4539,18/01/2025,7,11,15,19,34,45,32,42
4537,11/01/2025,6,8,18,19,29,38,15,45
4535,04/01/2025,8,10,19,23,31,33,13,42
4533,28/12/2024,4,12,26,29,40,41,31,34
4531,21/12/2024,9,18,25,27,38,44,7,23
4529,14/12/2024,6,7,11,21,30,35,13,29
4527,07/12/2024,1,7,11,13,16,35,5,14
4525,30/11/2024,8,13,16,30,39,41,28,38
4523,23/11/2024,3,6,17,25,40,42,7,28
4521,16/11/2024,5,6,8,29,38,44,1,9
4519,09/11/2024,5,6,30,37,39,43,17,45
4517,02/11/2024,1,3,6,10,18,42,5,40
4515,26/10/2024,1,25,29,35,42,43,19,31
4513,19/10/2024,5,15,22,26,33,43,4,11
4511,12/10/2024,2,8,10,21,28,45,27,30
4509,05/10/2024,13,15,18,24,27,30,26,41
4507,28/09/2024,15,19,29,34,37,40,6,44
4505,21/09/2024,6,21,24,29,32,42,25,30
4503,14/09/2024,6,14,22,32,34,38,19,41
