Draw,Date,Winning Number 1,2,3,4,5,6,7,Supplementary Number 1,2,3,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
1662,2025-12-23,2,12,23,29,36,37,47,3,34,43,,3,4,4,3,1,1,2,2,1,0,0.00,2,103596.40,49,4997.25,441,427.10,2534,59.45,64794,28.80,171893,17.40
1661,2025-12-16,4,9,19,20,41,43,46,8,21,45,"9,19",4,3,4,3,2,2,0,0,3,0,0.00,1,148246.40,29,6041.40,277,486.55,1650,65.35,43542,30.65,120838,17.75
1660,2025-12-09,3,6,9,15,19,21,33,7,14,31,,6,1,6,1,3,2,1,1,0,2,15000000.00,24,18429.45,262,1995.15,1552,259.10,9619,33.45,189635,21.00,454476,14.05
1659,2025-12-02,7,22,26,28,40,42,43,6,29,47,"28,43",2,5,2,5,1,0,3,1,2,0,0.00,6,60243.90,73,5851.85,820,400.75,4714,55.75,121536,26.75,307255,17.00
1658,2025-11-25,1,12,14,28,35,43,47,15,16,46,,3,4,4,3,1,2,1,1,2,0,0.00,6,50843.00,52,6933.15,589,470.85,3720,59.65,95061,28.90,243366,18.10
1657,2025-11-18,2,4,6,8,22,27,39,5,24,47,,5,2,2,5,4,0,2,1,0,0,0.00,9,33998.75,93,3888.45,682,407.90,4413,50.45,95943,28.75,222752,19.85
1656,2025-11-11,7,17,28,30,34,42,44,3,20,32,17,2,5,2,5,1,1,2,1,2,0,0.00,3,47468.60,41,4104.80,346,374.15,1936,53.50,49022,26.15,129638,15.90
1655,2025-11-04,12,14,17,18,21,25,43,15,24,42,43,5,2,4,3,0,4,2,0,1,1,20000000.00,6,49270.00,66,5293.45,655,410.30,4294,50.05,105956,25.10,264577,16.15
1654,2025-10-28,6,30,33,35,39,43,45,3,40,46,45,1,6,5,2,1,0,1,3,2,0,0.00,3,87116.95,73,4231.10,512,464.05,3449,55.10,83637,28.10,211218,17.90
1653,2025-10-21,4,26,28,29,36,37,45,20,24,43,,1,6,3,4,1,0,3,2,1,0,0.00,2,104197.55,35,7036.70,478,396.35,2742,55.25,69767,26.90,182008,16.55
